Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,769806130,9876.222259996895,3446,0.04421043244738685,0,6955497,89.23549920386012,41,0.0005260092078766284,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99302177,6749.342,0,0,0,121628,8.267,0,0,0
India,South-East Asia,44996599,3260.613,206,0.015,0,531925,38.545,3,0,0
France,Europe,38997490,59959.831,0,0,0,167985,258.282,0,0,0
Germany,Europe,38437756,46217.718,0,0,0,174979,210.395,0,0,0
Brazil,Americas,37717062,17744.244,0,0,0,704659,331.512,0,0,0
Republic of Korea,Western Pacific,33897537,66116.785,0,0,0,35557,69.354,0,0,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Italy,Europe,25929238,43475.169,388,0.651,0,191167,320.527,5,0.008,0
The United Kingdom,Europe,24671491,36342.529,673,0.991,0,228707,336.899,0,0,0
Russian Federation,Europe,22983150,15748.953,0,0,0,399938,274.053,0,0,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13980340,29536.378,0,0,0,121852,257.438,0,0,0
Viet Nam,Western Pacific,11622404,11940.183,128,0.131,0,43206,44.387,0,0,0
Australia,Western Pacific,11576428,45397.963,0,0,0,22696,89.004,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8616766,49500.066,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7633355,5920.416,0,0,0,334336,259.31,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7613468,9064.413,230,0.274,0,146321,174.206,3,0.004,0
Indonesia,South-East Asia,6813095,2490.862,0,0,0,161916,59.196,0,0,0
Poland,Europe,6518400,17172.602,0,0,0,119636,315.179,0,0,0
Colombia,Americas,6378000,12534.665,0,0,0,142961,280.961,0,0,0
Austria,Europe,6081287,68320.9,0,0,0,22534,253.161,0,0,0
Portugal,Europe,5601153,54401.734,0,0,0,27094,263.153,0,0,0
Ukraine,Europe,5518385,12618.136,0,0,0,109904,251.302,0,0,0
Greece,Europe,5352647,49938.093,0,0,0,37311,348.097,0,0,0
Chile,Americas,5289055,27667.919,0,0,0,61614,322.313,0,0,0
Malaysia,Western Pacific,5125089,15834.793,0,0,0,37187,114.895,0,0,0
Israel,Europe,4833089,55838.093,336,3.882,0,12625,145.86,0,0,0
Belgium,Europe,4804486,41696.776,67,0.581,0,34376,298.34,0,0,0
Thailand,South-East Asia,4756150,6813.971,389,0.557,0,34453,49.36,9,0.013,0
Canada,Americas,4697504,12446.306,0,0,0,53147,140.816,0,0,0
Czechia,Europe,4643607,43422.793,158,1.477,0,42815,400.367,2,0.019,0
Peru,Americas,4517034,13699.666,0,0,0,221364,671.373,0,0,0
Switzerland,Europe,4408474,50937.823,0,0,0,14034,162.156,0,0,0
Philippines,Western Pacific,4173631,3808.715,0,0,0,66646,60.819,0,0,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3415091,58650.696,0,0,0,8780,150.788,0,0,0
Romania,Europe,3411957,17652.158,0,0,0,68262,353.161,0,0,0
Sweden,Europe,2713674,26275.968,0,0,0,24676,238.933,0,0,0
Singapore,Western Pacific,2548327,43558.599,0,0,0,1872,31.998,0,0,0
Serbia,Europe,2545186,36744.542,0,0,0,18057,260.687,0,0,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
New Zealand,Western Pacific,2368831,49123.114,0,0,0,3249,67.375,0,0,0
Hungary,Europe,2203356,22553.356,0,0,0,48801,499.523,0,0,0
Bangladesh,South-East Asia,2045159,1241.828,56,0.034,0,29476,17.898,0,0,0
Slovakia,Europe,1866857,34204.845,0,0,0,21167,387.825,0,0,0
Georgia,Europe,1850905,46398.19,0,0,0,17122,429.212,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1716606,34578.039,305,6.144,0,9148,184.271,19,0.383,0
